Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Population,Electors/Électeurs,Polling Stations/Bureaux de scrutin,Valid Ballots/Bulletins valides,Percentage of Valid Ballots /Pourcentage des bulletins valides,Rejected Ballots/Bulletins rejetés,Percentage of Rejected Ballots /Pourcentage des bulletins rejetés,Total Ballots Cast/Total des bulletins déposés,Percentage of Voter Turnout/Pourcentage de la participation électorale,Elected Candidate/Candidat élu
"Quebec/Québec","Portneuf--Jacques-Cartier",24051,93526,81093,207,52468,98.2,946,1.8,53414,65.9,"Michaud, Élaine NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Québec",24052,95433,80608,241,52514,98.5,801,1.5,53315,66.1,"Papillon, Annick NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Repentigny",24053,109636,94047,274,61887,98.5,934,1.5,62821,66.8,"Larose, Jean-François NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Richmond--Arthabaska",24055,100116,82637,249,53303,98.4,871,1.6,54174,65.6,"Bellavance, André Bloc Québécois/Bloc Québécois"
"Quebec/Québec","Rimouski-Neigette--Témiscouata--Les Basques",24056,84453,68625,224,42716,99,449,1,43165,62.9,"Caron, Guy NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Rivière-des-Mille-Îles",24057,97258,79689,210,52098,98.2,973,1.8,53071,66.6,"Liu, Laurin NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Rivière-du-Nord",24059,101576,90638,250,53549,98.4,880,1.6,54429,60.1,"Dionne Labelle, Pierre NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Roberval--Lac-Saint-Jean",24060,78895,63645,196,40365,98.8,494,1.2,40859,64.2,"Lebel, Denis Conservative/Conservateur"
"Quebec/Québec","Rosemont--La Petite-Patrie",24061,105864,81961,234,53890,98.9,589,1.1,54479,66.5,"Boulerice, Alexandre NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Saint-Bruno--Saint-Hubert",24062,101416,82381,263,54578,98.6,780,1.4,55358,67.2,"Sellah, Djaouida NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Saint-Hyacinthe--Bagot",24063,95983,79289,244,51500,98.4,863,1.6,52363,66,"Morin, Marie-Claude NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Saint-Jean",24064,102902,85777,240,52539,98.4,862,1.6,53401,62.3,"Brahmi, Tarik NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Saint-Lambert",24065,94541,73523,213,43861,98.7,584,1.3,44445,60.5,"Groguhé, Sadia NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Saint-Laurent--Cartierville",24066,109015,78870,204,40812,99.2,343,.8,41155,52.2,"Dion, Stéphane Liberal/Libéral"
"Quebec/Québec","Saint-Léonard--Saint-Michel",24067,104786,71999,213,36266,98.2,674,1.8,36940,51.3,"Pacetti, Massimo Liberal/Libéral"
"Quebec/Québec","Saint-Maurice--Champlain",24068,96968,80534,245,47678,97.6,1193,2.4,48871,60.7,"St-Denis, Lise NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Shefford",24069,100000,84666,230,53975,98.4,877,1.6,54852,64.8,"Genest, Réjean NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Sherbrooke",24070,101681,82918,256,52011,98.9,569,1.1,52580,63.4,"Dusseault, Pierre-Luc NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Terrebonne--Blainville",24071,107694,88734,234,57271,98.2,1025,1.8,58296,65.7,"Borg, Charmaine NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Trois-Rivières",24072,94272,79520,239,50364,98.3,889,1.7,51253,64.5,"Aubin, Robert NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Vaudreuil-Soulanges",24073,120395,104325,308,69205,98.9,763,1.1,69968,67.1,"Nicholls, Jamie NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Verchères--Les Patriotes",24074,97726,80472,223,56602,98.5,871,1.5,57473,71.4,"Hassainia, Sana NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Quebec/Québec","Westmount--Ville-Marie",24075,100360,77656,203,41275,99.6,165,.4,41440,53.4,"Garneau, Marc Liberal/Libéral"
"Ontario","Ajax--Pickering",35001,117183,93565,269,56268,99.7,187,.3,56455,60.3,"Alexander, Chris Conservative/Conservateur"
"Ontario","Algoma--Manitoulin--Kapuskasing",35002,77961,58857,221,36242,99.5,179,.5,36421,61.9,"Hughes, Carol NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Ontario","Ancaster--Dundas--Flamborough--Westdale",35003,111844,86382,254,59000,99.7,193,.3,59193,68.5,"Sweet, David Conservative/Conservateur"
"Ontario","Barrie",35004,128430,94939,276,56651,99.7,174,.3,56825,59.9,"Brown, Patrick Conservative/Conservateur"
"Ontario","Beaches--East York",35005,104831,73302,217,48669,99.6,193,.4,48862,66.7,"Kellway, Matthew NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Ontario","Bramalea--Gore--Malton",35006,152698,108751,288,57796,99.2,454,.8,58250,53.6,"Gosal, Bal Conservative/Conservateur"
"Ontario","Brampton--Springdale",35007,131797,89017,250,51006,99.3,364,.7,51370,57.7,"Gill, Parm Conservative/Conservateur"
"Ontario","Brampton West/Brampton-Ouest",35008,170422,117926,323,63284,99.4,400,.6,63684,54,"Seeback, Kyle Conservative/Conservateur"
"Ontario","Brant",35009,125136,95508,267,57346,99.6,243,.4,57589,60.3,"McColeman, Phil Conservative/Conservateur"
"Ontario","Bruce--Grey--Owen Sound",35026,105947,79977,223,51054,99.6,227,.4,51281,64.1,"Miller, Larry Conservative/Conservateur"
"Ontario","Burlington",35010,118310,91716,281,60852,99.7,175,.3,61027,66.5,"Wallace, Mike Conservative/Conservateur"
"Ontario","Cambridge",35011,129434,94591,269,55048,99.5,255,.5,55303,58.5,"Goodyear, Gary Conservative/Conservateur"
"Ontario","Carleton--Mississippi Mills",35012,128915,107407,296,76773,99.7,196,.3,76969,71.7,"O'Connor, Gordon Conservative/Conservateur"
"Ontario","Chatham-Kent--Essex",35013,109484,74231,234,43451,99.5,221,.5,43672,58.8,"Van Kesteren, Dave Conservative/Conservateur"
"Ontario","Davenport",35015,104615,66731,187,39254,99.4,235,.6,39489,59.2,"Cash, Andrew NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Ontario","Don Valley East/Don Valley-Est",35016,109640,69690,209,39212,99.4,218,.6,39430,56.6,"Daniel, Joe Conservative/Conservateur"
"Ontario","Don Valley West/Don Valley-Ouest",35017,117083,82107,216,53482,99.7,176,.3,53658,65.4,"Carmichael, John Conservative/Conservateur"
"Ontario","Dufferin--Caledon",35018,111486,81155,209,48549,99.6,187,.4,48736,60.1,"Tilson, David Conservative/Conservateur"
"Ontario","Durham",35014,118500,92470,232,58184,99.5,267,.5,58451,63.2,"Oda, Bev Conservative/Conservateur"
"Ontario","Eglinton--Lawrence",35019,110066,73522,209,48389,99.4,302,.6,48691,66.2,"Oliver, Joe Conservative/Conservateur"
"Ontario","Elgin--Middlesex--London",35020,110028,81661,245,50649,99.7,170,.3,50819,62.2,"Preston, Joe Conservative/Conservateur"
"Ontario","Essex",35021,123872,90421,242,52697,99.6,233,.4,52930,58.5,"Watson, Jeff Conservative/Conservateur"
"Ontario","Etobicoke Centre/Etobicoke-Centre",35022,111349,81765,236,52523,99.5,271,.5,52794,64.6,"Opitz, Ted Conservative/Conservateur"
"Ontario","Etobicoke--Lakeshore",35023,114641,87188,277,54520,99.6,243,.4,54763,62.8,"Trottier, Bernard Conservative/Conservateur"
"Ontario","Etobicoke North/Etobicoke-Nord",35024,108501,63014,168,32235,99.1,279,.9,32514,51.6,"Duncan, Kirsty Liberal/Libéral"
"Ontario","Glengarry--Prescott--Russell",35025,104309,85413,271,57730,99.5,304,.5,58034,67.9,"Lemieux, Pierre Conservative/Conservateur"
"Ontario","Guelph",35027,114943,91316,227,59021,99.6,260,.4,59281,64.9,"Valeriote, Frank Liberal/Libéral"
"Ontario","Haldimand--Norfolk",35028,107775,80640,228,50366,99.5,256,.5,50622,62.8,"Finley, Diane Conservative/Conservateur"
"Ontario","Haliburton--Kawartha Lakes--Brock",35029,119141,93250,272,58628,99.7,163,.3,58791,63,"Devolin, Barry Conservative/Conservateur"
"Ontario","Halton",35030,151943,131924,327,81104,99.6,290,.4,81394,61.7,"Raitt, Lisa Conservative/Conservateur"
"Ontario","Hamilton Centre/Hamilton-Centre",35031,117509,78562,234,41813,99.2,320,.8,42133,53.6,"Christopherson, David NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Ontario","Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek",35032,116434,85710,245,48537,99.2,368,.8,48905,57.1,"Marston, Wayne NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Ontario","Hamilton Mountain",35033,122729,89312,241,54264,99.5,261,.5,54525,61.1,"Charlton, Chris NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Ontario","Huron--Bruce",35034,104313,78695,230,53241,99.5,247,.5,53488,68,"Lobb, Ben Conservative/Conservateur"
"Ontario","Kenora",35035,64291,42036,152,24586,99.5,120,.5,24706,58.8,"Rickford, Greg Conservative/Conservateur"
"Ontario","Kingston and the Islands/Kingston et les Îles",35036,119069,96049,270,60657,99.6,219,.4,60876,63.4,"Hsu, Ted Liberal/Libéral"
"Ontario","Kitchener Centre/Kitchener-Centre",35037,107540,80480,214,49809,99.6,209,.4,50018,62.1,"Woodworth, Stephen Conservative/Conservateur"
"Ontario","Kitchener--Conestoga",35038,114405,88766,239,53404,99.7,171,.3,53575,60.4,"Albrecht, Harold Conservative/Conservateur"
"Ontario","Kitchener--Waterloo",35039,126742,95966,270,66183,99.7,216,.3,66399,69.2,"Braid, Peter Conservative/Conservateur"
"Ontario","Lambton--Kent--Middlesex",35046,107635,79754,238,51223,99.6,229,.4,51452,64.5,"Shipley, Bev Conservative/Conservateur"
"Ontario","Lanark--Frontenac--Lennox and Addington",35040,117389,91463,287,58940,99.7,170,.3,59110,64.6,"Reid, Scott Conservative/Conservateur"
"Ontario","Leeds--Grenville",35041,99206,76802,222,49323,99.7,156,.3,49479,64.4,"Brown, Gord Conservative/Conservateur"
"Ontario","London--Fanshawe",35042,107218,75138,195,42613,99.4,236,.6,42849,57,"Mathyssen, Irene NDP-New Democratic Party/NPD-Nouveau Parti démocratique"
"Ontario","London North Centre/London-Centre-Nord",35043,115250,88478,245,52673,99.6,231,.4,52904,59.8,"Truppe, Susan Conservative/Conservateur"
"Ontario","London West/London-Ouest",35044,118335,93915,277,62204,99.6,273,.4,62477,66.5,"Holder, Ed Conservative/Conservateur"
"Ontario","Markham--Unionville",35045,127191,92638,240,49888,99.4,290,.6,50178,54.2,"McCallum, John Liberal/Libéral"
"Ontario","Mississauga--Brampton South/Mississauga--Brampton-Sud",35047,136470,94531,253,52847,99.3,351,.7,53198,56.3,"Adams, Eve Conservative/Conservateur"
"Ontario","Mississauga East--Cooksville/Mississauga-Est--Cooksville",35048,126642,85018,247,47025,99.4,289,.6,47314,55.7,"Lizon, Wladyslaw Conservative/Conservateur"
"Ontario","Mississauga--Erindale",35049,143361,105430,283,63454,99.7,217,.3,63671,60.4,"Dechert, Robert Conservative/Conservateur"
"Ontario","Mississauga South/Mississauga-Sud",35050,110932,78551,231,49464,99.6,188,.4,49652,63.2,"Ambler, Stella Conservative/Conservateur"
"Ontario","Mississauga--Streetsville",35051,130033,87480,242,50391,99.6,216,.4,50607,57.8,"Butt, Brad Conservative/Conservateur"
"Ontario","Nepean--Carleton",35052,133245,112535,294,79845,99.7,272,.3,80117,71.2,"Poilievre, Pierre Conservative/Conservateur"
"Ontario","Newmarket--Aurora",35053,121924,92731,250,58202,99.6,219,.4,58421,63,"Brown, Lois Conservative/Conservateur"
"Ontario","Niagara Falls",35054,126696,96176,274,53980,99.5,264,.5,54244,56.4,"Nicholson, Rob Conservative/Conservateur"
